,",",.,?,!,:,;,-,–,',"""",,",",.,?,!,:,;,-,–,',""""
"Cherubini, Eugenio",1599,1492,144,390,35,65,194,0,98,1004,"Cherubini, Eugenio",0,0,0,0,0,0,0,0,0,0
Brillat-Savarin,6052,3944,77,51,144,354,434,0,173,520,Brillat-Savarin,8961,4653,126,198,640,1893,1653,0,7471,0
"Darwin, Francis, Sir",8210,6939,79,72,358,477,2033,0,1130,2046,"Darwin, Francis, Sir",0,0,0,0,0,0,0,0,0,0
"Russell, George William",14382,8692,610,401,780,1702,3059,0,698,1785,"Russell, George William",0,0,0,0,0,0,0,0,0,0
Alain-Fournier,0,0,0,0,0,0,0,0,0,0,Alain-Fournier,5814,4805,200,300,334,276,2185,0,3876,0
"Sylvester, Charles Herbert",82672,44485,3516,3796,5105,10414,15301,0,10245,19267,"Sylvester, Charles Herbert",0,0,0,0,0,0,0,0,0,0
"Spencer, Herbert",42248,18851,927,107,1388,6784,9858,0,1280,2961,"Spencer, Herbert",7146,3068,148,6,257,548,937,0,6632,0
"Baudelaire, Charles",9421,3670,436,681,362,1193,1563,0,787,1136,"Baudelaire, Charles",4222,1679,166,602,163,409,1488,0,2619,37
Colette,1469,1728,171,394,28,60,1193,0,622,124,Colette,12296,9867,1022,1190,746,219,4598,0,7074,1377
"Diderot, Denis",497,672,84,54,23,72,296,0,3,4,"Diderot, Denis",44103,33153,4085,2849,3451,11748,17307,0,41987,2
"Gide, André",0,0,0,0,0,0,0,0,0,0,"Gide, André",7289,6047,655,924,820,1658,5116,0,6805,160
"Moore, Thomas",132276,53367,2928,5917,4015,13176,46205,0,24822,22491,"Moore, Thomas",0,0,0,0,0,0,0,0,0,0
"Lafayette, Marie Joseph Paul Yves Roch Gilbert Du Motier, marquis de",14983,7246,78,56,376,1658,1464,0,727,174,"Lafayette, Marie Joseph Paul Yves Roch Gilbert Du Motier, marquis de",0,0,0,0,0,0,0,0,0,0
"Darwin, Erasmus",55208,45137,440,538,863,11743,10434,0,2997,948,"Darwin, Erasmus",0,0,0,0,0,0,0,0,0,0
"Clinton, Bill",2894,2822,32,4,122,116,788,0,718,56,"Clinton, Bill",0,0,0,0,0,0,0,0,0,0
"Schopenhauer, Arthur",93199,44957,712,529,3448,11634,11836,0,3574,6625,"Schopenhauer, Arthur",6733,2491,47,58,527,981,1042,0,5683,0
"Champollion, Jean-François",0,0,0,0,0,0,0,0,0,0,"Champollion, Jean-François",7551,3092,20,43,439,1222,1505,0,5200,190
"Maspero, G. (Gaston)",83376,39907,357,376,4850,7461,18561,0,1934,5174,"Maspero, G. (Gaston)",6908,4199,13,3,580,501,1301,0,4730,8
